Table 1
No,Date,Num of comments on 30 posts,Score on 30 posts,Positive Sentiment,Negative Sentiment,P/N,Sentiment Score,Open,High,Low,Close,Volume,Market Cap,Bitcoin dominance
217,2018-03-06,2559,6985,56,25,2.24,31,"11,500.1","11,500.1","10,694.3","10,779.9","6,832,169,984","194,378,252,288",41.91
218,2018-03-07,2478,9113,48,19,2.526315789473684,29,"10,803.9","10,929.5","9,692.12","9,965.57","8,797,910,016","182,630,825,984",41.66
219,2018-03-08,3569,9749,67,37,1.8108108108108107,30,"9,951.44","10,147.4","9,335.87","9,395.01","7,186,089,984","168,240,807,936",41.72
220,2018-03-09,2900,11134,113,87,1.2988505747126438,26,"9,414.69","9,466.35","8,513.03","9,337.55","8,704,190,464","159,184,977,920",42.00
221,2018-03-10,1582,8689,55,27,2.037037037037037,28,"9,350.59","9,531.32","8,828.47","8,866","5,386,319,872","158,118,674,432",41.14
222,2018-03-11,2717,16565,79,61,1.2950819672131149,18,"8,852.78","9,711.89","8,607.12","9,578.63","6,296,370,176","149,716,271,104",41.39
223,2018-03-12,3254,11287,48,9,5.333333333333333,39,"9,602.93","9,937.5","8,956.43","9,205.12","6,457,399,808","162,420,637,696",41.77
224,2018-03-13,2350,6026,44,11,4.0,33,"9,173.04","9,470.38","8,958.19","9,194.85","5,991,139,840","155,168,309,248",41.73
225,2018-03-14,2474,8913,54,22,2.4545454545454546,32,"9,214.65","9,355.85","8,068.59","8,269.81","6,438,230,016","155,890,532,352",41.85
226,2018-03-15,2220,13211,64,13,4.923076923076923,51,"8,290.76","8,428.35","7,783.05","8,300.86","6,834,429,952","140,275,318,784",42.20
227,2018-03-16,2635,9549,65,39,1.6666666666666667,26,"8,322.91","8,585.15","8,005.31","8,338.35","5,289,379,840","140,833,898,496",42.51
228,2018-03-17,2146,4716,153,59,2.593220338983051,94,"8,321.91","8,346.53","7,812.82","7,916.88","4,426,149,888","140,833,521,664",42.67
229,2018-03-18,2463,13753,43,25,1.72,18,"7,890.52","8,245.51","7,397.99","8,223.68","6,639,190,016","133,547,311,104",43.40
230,2018-03-19,2283,9877,75,12,6.25,63,"8,344.12","8,675.87","8,182.4","8,630.65","6,729,110,016","141,240,451,072",44.36
231,2018-03-20,2159,8700,51,30,1.7,21,"8,619.67","9,051.02","8,389.89","8,913.47","6,361,789,952","145,921,605,632",43.49
232,2018-03-21,2676,7082,74,35,2.1142857142857143,39,"8,937.48","9,177.37","8,846.33","8,929.28","6,043,129,856","151,315,972,096",43.75
233,2018-03-22,2396,7935,129,53,2.4339622641509435,76,"8,939.44","9,100.71","8,564.9","8,728.47","5,530,390,016","151,365,943,296",43.77
234,2018-03-23,1907,9595,43,8,5.375,35,"8,736.25","8,879.62","8,360.62","8,879.62","5,954,120,192","147,940,982,784",44.01
235,2018-03-24,1487,6986,122,35,3.4857142857142858,87,"8,901.95","8,996.18","8,665.7","8,668.12","5,664,600,064","150,761,701,376",44.34
236,2018-03-25,1797,4689,97,41,2.3658536585365852,56,"8,612.81","8,682.01","8,449.1","8,495.78","4,569,880,064","145,881,972,736",44.22
237,2018-03-26,4144,11878,80,27,2.962962962962963,53,"8,498.47","8,530.08","7,921.43","8,209.4","5,921,039,872","143,959,785,472",43.76
238,2018-03-27,2552,6967,125,46,2.717391304347826,79,"8,200","8,232.78","7,797.28","7,833.04","5,378,250,240","138,918,920,192",44.46
239,2018-03-28,1714,8834,36,13,2.769230769230769,23,"7,836.83","8,122.89","7,809.17","7,954.48","4,935,289,856","132,781,244,416",44.81
240,2018-03-29,2608,6756,91,36,2.5277777777777777,55,"7,979.07","7,994.33","7,081.38","7,165.7","6,361,229,824","135,204,954,112",44.98
241,2018-03-30,3346,11963,92,61,1.5081967213114753,31,"7,171.45","7,276.66","6,683.93","6,890.52","6,289,509,888","121,533,513,728",45.72
242,2018-03-31,2384,6943,66,16,4.125,50,"6,892.48","7,207.85","6,863.52","6,973.53","4,553,269,760","116,819,845,120",44.69
243,2018-04-01,2839,9073,168,43,3.9069767441860463,125,"7,003.06","7,060.95","6,526.87","6,844.23","4,532,100,096","118,705,192,960",44.99
244,2018-04-02,1882,5799,41,26,1.5769230769230769,15,"6,844.86","7,135.47","6,816.58","7,083.8","4,333,440,000","116,037,476,352",45.49
245,2018-04-03,2828,31603,67,29,2.310344827586207,38,"7,102.26","7,530.94","7,072.49","7,456.11","5,499,700,224","120,414,863,360",45.50
246,2018-04-04,4305,5807,100,45,2.2222222222222223,55,"7,456.41","7,469.88","6,803.88","6,853.84","4,936,000,000","126,434,361,344",44.79
247,2018-04-05,2214,647,42,13,3.230769230769231,29,"6,848.65","6,933.82","6,644.8","6,811.47","5,639,320,064","116,141,531,136",45.10
248,2018-04-06,2603,336,58,20,2.9,38,"6,815.96","6,857.49","6,575","6,636.32","3,766,810,112","115,600,564,224",44.87
249,2018-04-07,1889,214,112,44,2.5454545454545454,68,"6,630.51","7,050.54","6,630.51","6,911.09","3,976,610,048","112,466,558,976",45.05
250,2018-04-08,2011,346,52,25,2.08,27,"6,919.98","7,111.56","6,919.98","7,023.52","3,652,499,968","117,392,195,584",45.16
251,2018-04-09,2682,316,69,19,3.6315789473684212,50,"7,044.32","7,178.11","6,661.99","6,770.73","4,894,060,032","119,515,766,784",44.86
252,2018-04-10,1587,290,87,27,3.2222222222222223,60,"6,795.44","6,872.41","6,704.15","6,834.76","4,272,750,080","115,305,570,304",44.26
253,2018-04-11,1663,300,52,18,2.888888888888889,34,"6,843.47","6,968.32","6,817.59","6,968.32","4,641,889,792","116,126,228,480",43.82
254,2018-04-12,2196,755,53,20,2.65,33,"6,955.38","7,899.23","6,806.51","7,889.25","8,906,250,240","118,047,571,968",42.80
255,2018-04-13,2439,300,96,26,3.6923076923076925,70,"7,901.09","8,183.96","7,758.93","7,895.96","7,764,460,032","134,113,542,144",42.66
